age,m,fut
18,0,211.693360711841
19,3,589.166324435318
20,7,1144.50102669405
21,5,1890.41478439425
22,18,2831.10198494182
23,30,3838.12457221082
24,25,4775.30458590007
25,24,5835.70704996578
26,29,6942.45585215606
27,26,7994.49144421629
28,55,8948.04106776181
29,54,9852.12594113621
30,59,10692.3285420945
31,79,11423.9260780287
32,65,12105.3442847365
33,77,12630.0424366872
34,80,13074.8993839836
35,78,13364.5694729637
36,83,13443.6687200548
37,116,13436.0985626283
38,91,13274.5817932923
39,94,13050.2532511978
40,89,12798.0396988364
41,102,12550.8008213552
42,97,12280.1642710472
43,107,11961.4757015743
44,101,11619.5345653662
45,93,11210.5379876797
46,104,10750.6228610541
47,124,10195.4770704997
48,140,9594.2340862423
49,120,8978.39561943874
50,112,8354.76796714579
51,140,7802.2970568104
52,132,7177.50308008214
53,118,6567.50444900753
54,114,5970.20944558522
55,117,5340.35592060233
56,118,4684.78028747433
57,102,4048.78302532512
58,79,3478.37371663244
59,83,2950.68309377139
60,69,2436.51197809719
61,66,1940.52019164956
62,48,1532.3832991102
63,43,1188.13963039014
64,26,930.173853524983
65,25,711.830253251198
66,13,518.475017111568
67,12,368.873374401095
68,13,260.659822039699
69,7,182.078028747433
70,6,120.473648186174
71,2,87.8631074606434
72,6,62.6584531143053
73,8,44.8021902806297
74,3,33.4401095140315
