age,ref_m,ref_p
0,3710,868354
1,274,860983
2,177,858481
3,124,853651
4,98,852252
5,81,852114
6,90,849959
7,83,847143
8,64,844536
9,89,841980
10,76,839898
11,66,837162
12,78,834158
13,118,832380
14,121,831944
15,165,833373
16,249,836447
17,390,841482
18,487,854025
19,544,870533
20,593,879457
21,546,884645
22,508,893686
23,587,910984
24,590,919856
25,598,921552
26,631,922432
27,633,923114
28,645,924483
29,718,927429
30,726,932350
31,760,931269
32,793,928624
33,856,923038
34,880,916984
35,841,910382
36,973,904926
37,972,901384
38,1049,900701
39,1112,901330
40,1200,903443
41,1308,904137
42,1362,903514
43,1539,900216
44,1590,894487
45,1755,886781
46,1823,878315
47,2006,867494
48,2244,856941
49,2343,848654
50,2481,842429
51,2665,836765
52,2941,830683
53,3188,823560
54,3399,816406
55,3761,800350
56,3835,782246
57,4087,762376
58,4361,739468
59,4776,718133
60,5091,696983
61,5172,675241
62,5565,653766
63,5811,632686
64,6287,612858
65,6556,592029
66,7151,568958
67,7375,546712
68,7788,523521
69,8054,500673
70,8781,479299
71,9180,455486
72,9583,430768
73,10411,409864
74,11109,388493
75,11560,367142
76,12088,347764
77,12943,326460
78,13382,305851
79,14173,285271
80,14583,264625
81,15062,242953
82,15306,220005
83,15404,197668
84,15508,175937
85,15288,154710
86,14896,134489
87,14217,114452
88,13270,95733
89,12237,77999
90,10999,62353
91,9388,48611
92,7940,37128
93,6437,27369
94,5117,19698
95,3850,13900
96,2873,9595
97,2012,6366
98,1303,4148
99,846,2669
